,block_id,previous_solution,timeout,solver_time_in_sec,outcome,initial_n_instrs,model_found,shown_optimal,initial_length,saved_length,checker,reason,solution_found,optimized_n_instrs,optimized_length
0,lesseqthan,local.get[local_index(10)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)],10,79.37,optimal,20,True,True,20,3,True,,local.get_0 i64.mul_0 i64.add_0 TEE1 i64.const_2 i64.shr_u_0 GET2 i64.add_1 TEE2 i64.const_0 i64.shl_1 i64.const_1 GET1 i64.and_0 i64.const_0 i64.shl_0 TEE1,17.0,17.0
1,escalarmulw4table,"local.get[local_index(0)] i64.load32_u[0,8] local.get[local_index(1)] i64.mul local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[0,8] local.get[local_index(0)] i64.load32_u[0,12] local.get[local_index(1)] i64.mul local.get[local_index(3)] i64.const[32] i64.shr_u i64.add",10,80.71,optimal,20,True,True,20,1,True,,local.get_2 GET1 i64.const_0 i64.shr_u_0 local.get_1 local.get_0 i64.load32_u_1 i64.mul_0 i64.add_0 TEE1 i64.store32_11 local.get_1 local.get_0 i64.load32_u_13 i64.mul_1 GET1 i64.const_0 i64.shr_u_1 i64.add_1,19.0,19.0
2,babyadd_tester,"local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(4)] i64.store32[2,36] local.get[local_index(3)] i64.const[32] i64.shr_u local.set[local_index(4)] local.get[local_index(3)] i64.const[4294967295] i64.and local.get[local_index(11)] local.get[local_index(20)] i64.mul i64.add local.set[local_index(3)] local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u",10,167.1,optimal,20,True,True,20,3,True,,TEE1 i64.const_0 i64.shr_u_1 local.get_0 GET2 i64.store32_3 TEE2 i64.const_1 GET1 i64.and_0 local.get_2 local.get_1 i64.mul_0 i64.add_0 TEE1 i64.const_0 i64.shr_u_0,17.0,17.0
3,montgomerydouble,"i64.and local.get[local_index(0)] i64.load32_u[2,0] local.tee[local_index(6)] local.get[local_index(6)] i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(1)] local.get[local_index(2)] i64.store32[2,0] local.get[local_index(3)] local.set[local_index(4)] local.get[local_index(4)]",10,180.76,no_model,20,False,False,20,0,True,,,,
4,sum_test,i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and local.get[local_index(4)] i64.const[4294967295] i64.and i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add,10,180.79,no_model,20,False,False,20,0,True,,,,
5,escalarmulw4table_test,i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and,10,159.1,non_optimal,20,True,False,20,1,True,,i64.shr_u_1 i64.add_0 SET2 GET1 i64.const_0 i64.and_0 i64.const_1 i64.shl_0 TEE1 i64.const_0 GET1 i64.const_2 i64.shr_u_0 GET2 i64.const_1 i64.shl_1 i64.add_1 SET2 i64.and_1,19.0,19.0
6,escalarmulw4table,"local.get[local_index(0)] i64.load[3,24] local.get[local_index(1)] i64.load[3,24] i64.gt_u",10,0.33,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.gt_u_0,5.0,5.0
7,montgomery2edwards,"local.get[local_index(0)] i64.load[3,8] local.get[local_index(1)] i64.load[3,8] i64.lt_u",10,0.33,optimal,5,True,True,5,0,True,,local.get_0 i64.load_1 local.get_1 i64.load_3 i64.lt_u_0,5.0,5.0
8,escalarmulw4table_test,i64.mul i64.add local.set[local_index(2)] local.get[local_index(3)] local.get[local_index(2)] i64.const[32] i64.shr_u i64.add local.set[local_index(3)] local.get[local_index(2)] i64.const[4294967295] i64.and i64.const[1] i64.shl local.set[local_index(2)] local.get[local_index(3)] i64.const[1] i64.shl local.get[local_index(2)] i64.const[32],10,125.44,optimal,20,True,True,20,3,True,,i64.mul_0 i64.add_0 TEE1 i64.const_0 i64.shr_u_0 GET2 i64.add_1 TEE2 i64.const_1 i64.shl_1 i64.const_2 GET1 i64.and_0 i64.const_1 i64.shl_0 TEE1 i64.const_0,17.0,17.0
9,escalarmulw4table_test,"local.get[local_index(4)] local.get[local_index(3)] i64.const[32] i64.shr_u i64.add local.set[local_index(4)] local.get[local_index(2)] local.get[local_index(3)] i64.store32[2,56] local.get[local_index(4)] i64.const[32] i64.shr_u local.set[local_index(3)] local.get[local_index(2)] local.get[local_index(4)] i64.store32[2,60]",10,12.69,optimal,16,True,True,16,1,True,,local.get_0 GET1 GET1 i64.const_0 i64.shr_u_0 GET2 i64.add_0 TEE2 i64.const_0 i64.shr_u_1 SET1 i64.store32_8 local.get_0 GET2 i64.store32_15,15.0,15.0
